時間,分類,標題,網址
2024/05/22 15:34,政治,綠批藍沒討論國會法案　蔣萬安反舉總預算逕付二讀、1分鐘過一例一休,https://www.ettoday.net/news/20240522/2743929.htm
2024/05/22 15:34,地方,預防酒癮酒駕悲劇...南投縣推治療費用補助　監理站赴看守所宣導,https://www.ettoday.net/news/20240522/2743804.htm
2024/05/22 15:31,財經,業界交情成包袱？　彭金隆掛保證：會做好分際,https://finance.ettoday.net/news/2743937
2024/05/22 15:31,生活,華航7／14首航西雅送限定禮　「1條件」抽不限航點機票,https://www.ettoday.net/news/20240522/2743933.htm
2024/05/22 15:29,社會,20歲護理生隨機砍人　學校科主任嘆：很遺憾,https://www.ettoday.net/news/20240522/2743925.htm
2024/05/22 15:29,體育,回到起點！　全壘打王邦茲入選海盜名人堂！,https://sports.ettoday.net/news/2743843
2024/05/22 15:28,體育,懷疑投球動作被破解！　施密特主投5局失2分吞敗,https://sports.ettoday.net/news/2743919
2024/05/22 15:25,寵物動物,「張嘴黑色怪魚」擱淺海灘！專家揭神秘身世「公的都吃軟飯」,https://pets.ettoday.net/news/2743887
2024/05/22 15:23,體育,和林襄、李多慧一起應援　味全龍小龍女海選招募即日開跑,https://sports.ettoday.net/news/2743928
2024/05/22 15:23,影劇,曾任西城男孩開場嘉賓！　超甜大馬女聲宣布「重磅喜訊」,https://star.ettoday.net/news/2743926
2024/05/22 15:23,國際,日本沖繩大雨轟炸！　那霸對「11萬市民」發避難指示,https://www.ettoday.net/news/20240522/2743921.htm
2024/05/22 15:23,生活,3刀男「從高雄奔台中」砍人！網3點分析：犯案邏輯非常縝密,https://www.ettoday.net/news/20240522/2743916.htm
2024/05/22 15:21,國際,3招分辨女伴是不是「假高潮」　性愛專家曝：重點都在細節裡,https://www.ettoday.net/news/20240522/2743856.htm
2024/05/22 15:20,財經,近2百萬股民注意！00929填息達陣　00878收復3成,https://finance.ettoday.net/news/2743917
2024/05/22 15:20,地方,市區公車電動化補助450億南投沒份？交通部承諾納重點補助,https://www.ettoday.net/news/20240522/2743880.htm
2024/05/22 15:19,生活,發錢了！65歲長者可領端午敬老金　這縣市最高可拿1萬元,https://www.ettoday.net/news/20240522/2743922.htm
2024/05/22 15:19,地方,土庫商工健力好手蘇仲哲　勇奪亞洲盃健力錦標賽3金1銅,https://www.ettoday.net/news/20240522/2743845.htm
2024/05/22 15:17,社會,出手擋3刀男！長髮英雄回憶驚悚過程　謝大家一起幫忙「覺得很棒」,https://www.ettoday.net/news/20240522/2743900.htm
2024/05/22 15:14,健康,開放「代理孕母」拼年底送立法院！邱泰源：用最快的速度處理好,https://health.ettoday.net/news/2743911
2024/05/22 15:12,生活,男子闖平交道慘遭區間車撞死　台鐵11列車延誤,https://www.ettoday.net/news/20240522/2743918.htm
2024/05/22 15:12,政治,「街頭壓制國會的時代已過」　朱立倫：民進黨別想少數霸凌多數,https://www.ettoday.net/news/20240522/2743915.htm
2024/05/22 15:12,社會,快訊／新莊租賃車撞倒走路阿嬤　後腦撞地失去意識送醫搶救,https://www.ettoday.net/news/20240522/2743913.htm
2024/05/22 15:11,國際,中國大使批日「帶人民入火坑」　日本官房長官：言論極不恰當,https://www.ettoday.net/news/20240522/2743811.htm
2024/05/22 15:10,影劇,蘇打綠日倒數8天...團員搶先獻驚喜！　宣布還要送禮物,https://star.ettoday.net/news/2743909
2024/05/22 15:07,政治,保額百萬以下免強制執行！　金管會彭金隆：6月修法預告,https://www.ettoday.net/news/20240522/2743908.htm
2024/05/22 15:07,社會,高中生第一個被砍！父嘆「仇恨沒有用」：有英雄兒子才能活著,https://www.ettoday.net/news/20240522/2743899.htm
2024/05/22 15:06,生活,中捷英雄長髮男「戰袍洗3次才乾淨」　女友暈：血味太濃洗到吐,https://www.ettoday.net/news/20240522/2743851.htm
2024/05/22 15:03,生活,170種台灣小米種原入北極全球種子庫　中大：維繫全球多樣性,https://www.ettoday.net/news/20240522/2743903.htm
2024/05/22 15:03,健康,社福著重3方向！　衛福部談社安網：強化社區精神醫療,https://health.ettoday.net/news/2743891
2024/05/22 15:02,健康,中年男「排便1症狀」不放心上！拖到直腸癌第三期　醫示警5徵兆,https://health.ettoday.net/news/2743897
2024/05/22 15:00,旅遊,盤點全台7座國家森林遊樂區！景點規劃＆特色介紹　盡情親近山林,https://travel.ettoday.net/article/2739961.htm
2024/05/22 14:57,政治,鄭銘謙輪番被問「死刑存廢」卻避答　羅智強：表現遠不及蔡清祥,https://www.ettoday.net/news/20240522/2743902.htm
2024/05/22 14:55,影劇,中尾彬生前遺言曝！愛妻悲痛「這一切來得太快」…終活房子全脫手,https://star.ettoday.net/news/2743898
2024/05/22 14:53,大陸,「聽障寶寶」首次聽見聲音被嚇哭　網感動：歡迎來到新世界,https://www.ettoday.net/news/20240522/2743756.htm
2024/05/22 14:52,社會,賓士男國道開輔助駕駛「車上呼呼大睡」衝進休息站　連撞2車2人傷,https://www.ettoday.net/news/20240522/2743872.htm
2024/05/22 14:51,財經,大立光遭德商控侵權　公司：全力配合檢調「最大善意解決」,https://finance.ettoday.net/news/2743901
2024/05/22 14:50,大陸,恐怖！夜半睡醒嬰兒失蹤了　四川夫妻踏上29年尋子路,https://www.ettoday.net/news/20240522/2743892.htm
2024/05/22 14:48,國際,快訊／挪威首相宣布：承認巴勒斯坦為獨立國家,https://www.ettoday.net/news/20240522/2743894.htm
2024/05/22 14:47,社會,快訊／中捷3刀男行兇畫面再曝！動手想抓住外籍女...眾人奔逃,https://www.ettoday.net/news/20240522/2743893.htm
2024/05/22 14:47,社會,雨傘哥誤傷友軍！英勇長髮男急喊2次：不是我　苦笑曝當下心情,https://www.ettoday.net/news/20240522/2743842.htm
2024/05/22 14:46,影劇,篠崎泫才認愛Toyz！遭男星爆小帳私聊幾個月「真相曝」　沈玉琳吃瓜：有邪念,https://star.ettoday.net/news/2743886
2024/05/22 14:45,影劇,李多慧「難得素顏」全被拍！機場偶遇許光漢：太不像話了  畫面曝光,https://star.ettoday.net/news/2743889
2024/05/22 14:44,體育,快訊／前獅隊黃勇傳現身鞠躬道歉　澄清212萬債務與賭博無關,https://sports.ettoday.net/news/2743860
2024/05/22 14:43,社會,快訊／買野馬GT沒繳車貸遭扣車　劫車犯到車商店內自焚灼傷！,https://www.ettoday.net/news/20240522/2743879.htm
2024/05/22 14:43,時尚,萬寶龍慶招牌鋼筆百周年　未生產的設計付諸實踐,https://fashion.ettoday.net/news/2743765
2024/05/22 14:39,生活,521學運女神是誰？網一致推「神蹟輪椅妹」　超狂過往背景曝光,https://www.ettoday.net/news/20240522/2743875.htm
2024/05/22 14:39,生活,不是無條件退貨！「好市多爆強3服務」全免費　官方證實：隱藏版,https://www.ettoday.net/news/20240522/2743848.htm
2024/05/22 14:38,社會,「中捷3刀男」爸哽咽：沒有權力要求原諒！　曝想去醫院探視傷者,https://www.ettoday.net/news/20240522/2743888.htm
2024/05/22 14:38,社會,北投中古車行BMW遭開走！賊行竊畫面全被錄下　超瞎動機曝,https://www.ettoday.net/news/20240522/2743850.htm
2024/05/22 14:37,地方,感念和平的真諦　台日美共同為牡丹社事件石門古戰場縣定史蹟碑揭碑,https://www.ettoday.net/news/20240522/2743883.htm
2024/05/22 14:34,財經,輝達黃仁勳加持！　台股3檔挾「機器人」題材創高,https://finance.ettoday.net/news/2743840
2024/05/22 14:32,ET車雲,179萬、新增6人座！Mazda「全新CX-90休旅發表」　未來將取代CX-9,https://speed.ettoday.net/news/2743585
2024/05/22 14:31,社會,快訊／雲林男闖平交道被撞死！　斗六-斗南段單線通車,https://www.ettoday.net/news/20240522/2743881.htm
2024/05/22 14:29,大陸,陸少年遭11盆開水淋身！8學長「逼穿長袖隱瞞」化膿潰爛才曝光,https://www.ettoday.net/news/20240522/2743853.htm
2024/05/22 14:27,遊戲,《怪醫黑傑克》真人版7歲童星飾演皮諾可！嘟嘴海報可愛亮相,https://game.ettoday.net/article/2743844.htm
2024/05/22 14:24,社會,獨／只想保護妻子！中捷黑衣奪刀男身分曝　英勇擋人群前壓制犯嫌,https://www.ettoday.net/news/20240522/2743874.htm
2024/05/22 14:24,政治,動員近60警力「地毯式搜索」殺人未遂犯　張榮興曝今有機會找到人,https://www.ettoday.net/news/20240522/2743873.htm
2024/05/22 14:22,政治,卓榮泰拜會韓國瑜　「急迫性、爭議少的政策」盼立院協助,https://www.ettoday.net/news/20240522/2743877.htm
2024/05/22 14:19,ET車雲,大陸品牌小鵬汽車G9進軍法國！起跳價約新台幣210萬主攻高端市場,https://speed.ettoday.net/news/2743870
2024/05/22 14:17,ET車雲,TOYOTA GR Corolla有望追加自排版　300匹動力讓更多人享用,https://speed.ettoday.net/news/2743863
2024/05/22 14:16,政治,國情報告「即時回答」恐違憲　柯建銘估：合憲前賴清德不會赴立院,https://www.ettoday.net/news/20240522/2743864.htm
2024/05/22 14:13,生活,行人闖平交道遭區間車慘撞！台鐵斗六=斗南單線行車,https://www.ettoday.net/news/20240522/2743871.htm
2024/05/22 14:12,社會,快訊／中捷無差別砍人　偵訊6小時「3刀男」殺人未遂罪移送,https://www.ettoday.net/news/20240522/2743869.htm
2024/05/22 14:07,體育,周天成橫掃晉級大馬賽16強　王子維連2周拍落新加坡一哥,https://sports.ettoday.net/news/2743858
2024/05/22 14:06,財經,2家職業工會欠繳保費　勞保局將暫拒給付,https://finance.ettoday.net/news/2743867
2024/05/22 14:06,財經,00878、00919月底換股！牽動4500資金　2投顧拆解曝光,https://finance.ettoday.net/news/2743862
2024/05/22 14:06,地方,虎林、水源國小校園環境改善　竹市府補助30萬,https://www.ettoday.net/news/20240522/2743861.htm
2024/05/22 14:05,影劇,高爾宣夯曲破億超狂！　閉關操肌升格「大隻佬」,https://star.ettoday.net/news/2743854
2024/05/22 14:05,社會,快訊／中捷3刀男父母現身！　5度鞠躬道歉：是我沒有把小孩教好,https://www.ettoday.net/news/20240522/2743846.htm
2024/05/22 14:03,地方,竹市路邊智慧停車柱成效佳　使用率成長40%,https://www.ettoday.net/news/20240522/2743849.htm
2024/05/22 14:01,社會,遭男友迷暈悶殺？女憲兵「裸身蓋棉被」亡　檢3.5hrs解剖追真相,https://www.ettoday.net/news/20240522/2743852.htm
2024/05/22 14:00,旅遊,與凱蒂貓同入睡！高雄漢來飯店三麗鷗主題房　夢幻色系少女心爆發,https://travel.ettoday.net/article/2742324.htm
